ZCTA,Median Home Value (Dollars),Bachelors degree or higher (Older than 25),Fire Department Battalion,Police Precinct,Population,White,Black or African American,Asian,Median Houshold Income (More than 200000 Dollars)
10001,632400,10006,7,10,21097,13471,2207,3538,1709
10002,572000,17211,4,7,81335,24793,5653,37432,1299
10003,802300,30139,6,9,55190,42415,1971,7773,5591
10004,886800,1603,1,1,2604,1872,159,408,499
10005,1000000,3139,1,1,4935,3719,51,1014,713
10006,799600,1732,1,1,2722,1702,87,602,448
10007,1000000,3420,1,1,5892,4237,406,797,1105
10009,641000,26003,4,9,62335,36614,5430,10020,2383
10010,732600,17375,8,13,28954,21802,1330,3691,3496
10011,890500,32508,7,10,51064,40505,1955,4739,7484
10012,1000000,14412,2,1,24342,18629,620,3686,2513
10013,1000000,9999,1,1,25942,13217,996,10502,2443
10014,945900,21403,2,6,31685,28206,552,1816,4456
10016,759300,33399,8,17,53754,40826,1893,7366,6787
10017,686100,10380,8,17,15603,11953,312,2792,2477
10018,816700,2520,7,10,5290,3106,380,1256,574
10019,800800,23492,9,18,40778,29568,2338,5294,4773
10021,1000000,27453,10,19,41546,36437,1019,3339,6497
10022,855100,19432,8,17,28847,24614,579,2809,5039
10023,889100,38378,9,20,60035,49473,1853,5583,9032
10024,1000000,36517,11,20,60239,50856,3073,2977,8400
10025,900900,47297,11,24,95330,61830,15484,8633,6918
10026,576000,9702,11,28,36026,8208,20832,1691,641
10027,663800,15963,11,28,58834,17072,24818,4854,1321
10028,1000000,29324,10,19,45345,40464,622,2982,6696
10029,841400,12547,12,23,78451,24145,24868,6327,1141
10030,642000,4922,16,32,29186,3947,21272,448,457
10031,419700,11097,16,30,58736,14545,22682,1285,742
10032,394600,9329,13,33,62798,14612,14490,2234,280
10033,448700,12122,13,34,58027,24020,4215,1295,810
10034,352200,9301,13,34,40925,14745,4131,728,268
10035,457300,4940,12,25,35290,7080,13402,1039,281
10036,798600,11824,9,18,22371,14015,1835,3888,1722
10037,277300,4408,16,25,17489,1349,13548,655,179
10038,637800,6915,1,1,19530,9283,1497,6398,1622
10039,377100,3863,16,32,25257,3090,17534,275,118
10040,324200,10318,13,34,43753,18176,4128,875,380
10044,461900,4822,14,114,11399,6428,2024,2003,406
10065,1000000,20614,10,19,32193,28407,419,2539,5179
10069,1000000,3827,9,20,5214,3828,118,1049,1168
10075,882100,16724,10,19,26082,22811,469,1773,4014
10128,1000000,36207,10,19,58793,48262,2295,5812,7356
10162,0,979,10,19,1608,1474,0,88,238
10279,0,0,1,1,0,0,0,0,0
10280,699800,5276,1,1,7741,5443,125,1623,1106
10282,1000000,2884,1,1,5027,3293,28,624,1283
10301,430400,8261,21,120,39367,24018,9016,2618,900
10302,390600,2134,22,121,17128,10103,3703,1023,169
10303,345300,3005,22,121,26274,10050,9720,2394,254
10304,416100,7674,21,120,40934,20809,10969,4844,813
