ZCTA,Median Home Value (Dollars),Bachelors degree or higher (Older than 25),Fire Department Battalion,Police Precinct,Population,White,Black or African American,Asian,Median Houshold Income (More than 200000 Dollars)
10001,535100,15039,7,10,27004,15428,2355,5031,4361
10002,784800,23221,4,7,76518,23951,6785,28590,3661
10003,1111000,30401,6,9,53877,36515,2899,9023,9675
10004,1792200,3388,1,1,4579,2653,266,1419,1230
10005,1750000,6072,1,1,8801,6233,421,985,2368
10006,1066700,2476,1,1,3736,2550,225,684,1074
10007,2000000,4743,1,1,7506,5471,646,1201,2078
10009,714100,29155,4,9,58418,32738,4477,8106,5681
10010,1093900,19211,8,13,32410,21682,2753,5067,6584
10011,1151800,33126,7,10,50772,37319,2345,4519,10532
10012,1455300,13936,2,1,21216,14971,598,3694,3660
10013,2000000,15593,1,1,29453,17019,964,8747,5108
10014,1427900,21643,2,6,29461,24159,650,1662,6980
10016,953300,35623,8,17,54369,34711,2603,10521,11702
10017,850100,11016,8,17,14486,9949,461,3035,2825
10018,911900,5699,7,10,8659,4425,544,2558,1845
10019,958800,29030,9,18,42766,26754,2630,8056,8479
10021,1572800,25852,10,19,40642,34223,177,3997,8169
10022,1125600,23938,8,17,33586,26748,486,3946,7699
10023,1525300,43774,9,20,65706,46750,3595,9183,14069
10024,1743700,41239,11,20,62774,49311,1604,4049,12215
10025,1105100,49094,11,24,96988,56731,10512,9571,12252
10026,1030400,13779,11,28,38265,9067,19229,2413,2448
10027,872800,21657,11,28,65806,19582,23641,5881,3717
10028,1572100,30763,10,19,45717,37936,735,3896,10097
10029,735700,18277,12,23,75614,18977,22135,8342,2686
10030,710500,8135,16,32,31268,5145,18253,1134,1004
10031,629900,19071,16,30,61044,13898,16914,2517,2435
10032,593000,17030,13,33,60480,13028,10197,2810,1317
10033,702500,16995,13,34,58711,19188,4198,2005,2676
10034,491200,12369,13,34,41570,12964,5103,1495,1156
10035,661800,8084,12,25,38595,7733,15568,1295,932
10036,1450400,17486,9,18,30930,18023,2309,4943,4244
10037,0,6300,16,25,19138,2544,12593,731,772
